question,answer
"What are the best restaurants to try when visiting Bengaluru, Karnataka, India? What should you try while you're there?","Blue Ginger
 Address: : The Taj West End, 25, Race Course Road, High Grounds, Bengaluru, Karnataka 560001
"
What are the responsibilities of a business analyst?,"Business analyst responsibilities
Analyzing and evaluating the current [LINKED_TEXT: Business Analyst Online Course] [URL: https://onlineitguru.com/business-analyst-training.html] processes a company has and identifying areas of improvement.Researching and reviewing up-to-date business processes and new IT advancements to make systems more modern.Presenting ideas and findings in meetings.
"
Why do people vape?,"Vaping is mainly intended for ex-smokers who want to quit smoking. Even without nicotine, research on the inhalation of other ingredients used in e-liquids is limited. Therefore, I do not recommend running the device only for experiments or recreation. The only scenario is if you want to smoke cigarettes. Vaping is much less dangerous and easier to quit.
"
What food is just impossible to eat in a civilized manner?,"Chicken wings and chops especially if you like to eat the bones clean.
"
Can you ever take out a loan with bad credit?,"af247 dot com
"
To what extent can we change human nature?,"I think, by definition, human nature can't be changed. It can evolve due to many factors.
"
How difficult was it for you to find your life purpose?,"Yes, I have found my life purpose. One of the things I achieved while understanding my life purpose was to bring clarity in my mind. In this video, I explain how to bring clarity in mind and then know your life purpose.
"
How do I talk like a native English speaker?,"I don’t know why you’d want to do such a thing we tend to butcher it but if you must we tend to call males we don’t know mate. You all right mate , scouse me mate you dropped your wallet, cheers mate
"
How do I buy a stock after the markets close on Upstox and Zerodha?,"There is AMO order (After market order) when Market closed and you have to place order so you have to place AMO type order .
"
"Is it safe to run a 1700 watt air fryer and a George Foreman grill in the same outlet (grill on top plug, fryer on bottom plug in the outlet)?","What is being asked is —-can you use a double adapter to run the two appliances together from the same outlet.
"
https://www.quora.com/profile/Me...,"Using Chrome, it reports “Something went wrong” and offers refresh. When refreshed, it repeats. Hope it works out for you Claire.
 Best regards,
"
"If you tell a taxi or Uber driver to just drive, where will they go?","Where they like to go, maybe around the city, maybe out of the throngs of city traffic, maybe to a scenic route. It’s an individual decision that no one can answer for them ahead of time.
"
"Is it true that the vast majority of Americans truly believe that the USA single-handedly won the Second World War, and that the British Empire and USSR contributed either nothing or just very little to the Allied victory?","No.
"
Is NASA making the wheels on the Mars 2020 rover significantly stronger since there has been constant anxiety over damage to the wheels on the Curiosity rover?,"Everything is a matter of design vs weight.
 There hasn’t been any “anxiety” the fact that Curiosity’s wheels are wearing down is not unexpectd… This is entirely off road travel. and again as been mentioned, Curiosity is operating longer than it was planned for.
"
What is the fate of hemoglobin in the body?,"Primarily, it is to transport oxygen from the lung to distant organs (http://en.wikipedia.org/wiki/Hemoglobin). There are other functions as well, such as carbon dioxide transport and (in some organisms), titration of circulating nitric oxide (another type of gas of physiologic importance).
"
"Which university is better for BSCS in Lahore, Comsats or PUCIT?","COMSATS is the best institute in terms of IT instead of PUCIT or FAST. The faculty is highly qualified and they have much more better industrial and international outlook because it is ranked No. 1 in international rankings and national rankings also. The course structure is much more updated including Machine Learning etc.
"
Why are the Kannadigas the least known among South Indians?,"Totally disagree. This type of question can be raised by tamilians. Kannadigas well known in Maharastra and Hyderabad. North karnataka are full of hindustani singets well famoliar througout india the best being Bimsen joshi, bharat ratna. Karnataka also famous for karnatic music mysore vasudevacharya. I do not agree that kannadigas leastknown among south indians. May be the question may not know about them. Totally biased question.
"
Should I repair my own rental properties or hire a contractor?,"I would hire a Property Management company that provides repairs as one of their services. As a property owner you want to enjoy your time with your family and finding better deals not fixing toilets.
"
How do Democrats explain the peer-reviewed paper on the 4 hidden algorithms found in the NY voter rolls using multiple obfuscation techniques built into the system?,"The same way we try to explain unicorn invasions and the ‘'DEEP STATE"" to people who believe that kind of nonsense…but reality is remarkably ineffective on the particular populace!
"
How fast could the US Air Force SR-71 Blackbird fly if it pushed its engines to the point of destruction as some MiG-25 Foxbats did chasing the Blackbird?,"Very interesting question. I would love to know myself. Brian Shul did Mach 3.5. He details it in his amazing books the Untouchables and Sled Driver.
"
What is the most advanced invention in the world?,"The most advanced technology man has ever invented is artificial intelligence (AI). AI has the potential to revolutionize many industries, from healthcare to transportation, by being able to process large amounts of data quickly and accurately. AI is being used in numerous applications, from self-driving cars to medical diagnosis, and is expected to continue to revolutionize the way we live and work in the future.
"
What was your strangest holiday gift that left you shaking your head?,"Had a girlfriend who on a holiday in bed shows me , or let’s me find her smooth shaved pussie, it was a gift I had asked for and thank you .
"
"Atheists, take a look around. Do you like the world science has lead you to?","It is science that led the world out of the Dark Ages.
"
How can I see the Egyptian Pyramids in Cairo?,"Your best bet is to book a tour and let them arrange an itinerary, with qualified guides and a good selection of sites. Of course the great pyramids will be included, but there’s a lot else to see.
"
What is your favorite guitar joke?,"What do you call a girl on a guitar player’s arm?
 A tattoo.
"
"Is it correct affirming, in the light of the Scriptures, that the woman who makes abortion does not believe in God?","No
"
Is the Indian economy going to hit a recession in the coming months?,"We will see a recession during the next five years in all likelihood. Greater precision than that I cannot offer you. Recessions are a natural part of the economic cycle just like day/night, wet/dry, warm/cool etc.
"
Can you live in SF Bay Area without a car?,"I think it's pretty easy, we have Bart, AC Transit, Trolleys, Ubers and Lyfts. We have really good public transportation that takes you basically anywhere.
"
Do you believe in karma? Why or why not?,"No.
"
Why is Lord Nelson considered as one of the most loved leaders of the Royal Navy during the Napoleonic Wars?,"Simply he won a string a battles against the French, was wounded several times and died in his greatest victory which annihilated both the French an Spanish fleets thereby preventing himself from making a fool of himself in his later years.
"
Is Jif peanut butter safe for cats?,"If you’re going to give your cat peanut butter, stick to the “natural” kind with no sugar. Small amounts is best. Ask your Vet. first to be sure.
"
How can we use chat GPT in the best possible way?,"here is answer
[LINKED_TEXT: https://www.huntrick.in/2023/01/chatgpt-bot-could-breeze-through.html] [URL: https://www.huntrick.in/2023/01/chatgpt-bot-could-breeze-through.html]"
Do wind turbines use diesel?,"No, but they do use a lot of lubricants, about 150 gallons a year if they do not leak. It goes somewhere.
"
"Is ""Transformers: Age of Extinction"" better than the first three Transformers movies?","I would say this is an entirely different movie than before. Its like beginning of another series.
"
Why don't small civil jets use high bypass turbofans?,"Many do but the engine is small since thrust required is less.
"
What are the most beautiful gardens in the world?,"I have seen the most beautiful gardens through Instagram as in Japan… Especially for spring cherry blossom time..
"
"If a job is still being advertised 4 months after you were rejected, and you think you are qualified for it, would you reapply?","Was this before or after an interview? If you were rejected without an interview and there are significant changes to your application, reapply. If you were rejected after an interview, they agree that you’re qualified but don’t want to work with you. Unless you know why that is, you really can’t address it.
"
What is the best way for preparing for GATE CSE?,"Hi, First of all go to official website.
 List all the chapters, arrange in order from easy and important to difficult and less important.
 Now analyse the two cases:
 Case - 1 : Preparing for 100 % syllabus with 70 % accuracy result will be 70 %
 Case - 2 : Preparing for 80 % syllabus with 100 % accuracy result will be 80 %
 Now decide, which one is better.
 You can also join daily class on the link given below:
Thanks !!!
"
"If Parshuram is the incarnation of Vishnu, then why didn't Parshuram recognize Ram during the breaking of the Shiva bow event?","How do you know The Supreme Being's Divine plan? Do you have any clue regarding what mindset one should have at any moment? Both Parashurama And Rama did their role applicable for that moment.
"
What is your secret to the best hot chocolate/cocoa?,"My secret is no longer a secret. Here is the best Traditional Mexican hot chocolate recipe. In precisely 1 minute and 52 seconds you will be able to make the most scrumptious hot chocolate ever!
"
How do people who eat only once or twice a day manage to not feel hungry between meals?,"Because they are not obese fat farting pigs probably
"
How do I make group calls in WhatsApp?,"I don't think you can for now. But you can send a request to Whatsapp and maybe they will consider this. It will be a cool feature.
"
Have we lost hope for the unification of quantum mechanics and gravity?,"No. Following is a quantum gravity theory in which entire table of standard model particles are generated from a single formula.
 [LINKED_TEXT: https://www.researchgate.net/publication/262492889_Periodic_quantum_gravity_and_cosmology] [URL: https://www.researchgate.net/publication/262492889_Periodic_quantum_gravity_and_cosmology]
"
What is the best browser compatibility testing tool?,"BrowserStackBrowsershotsBrowserlingLitmusIE NetRendererBrowser SandboxTestingBotBrowseEmAll
"
"Which Bollywood movie has a very effective, well crafted, and brilliant climax scene?","I would like to say A Wednesday and Special 26. The amount of suspense they create and mystery unfold towards the end is just amazing.
"
"Which Bollywood movie has a very effective, well crafted, and brilliant climax scene?","I think the The Best Ever Climax Scene ever Crafted is in the Anurag Kashyap's latest Movie ""UGLY"".
 Coz even no one could even imagine the Climax of it.
 & 
 Hats off Mr. Anurag Kashyap
"
Does Uber charge more for two people riding together?,"No. As far as I know, they don’t charge more for every additional passenger. The number of passenger that they ask us to input is just required to decide whether we can take UberPool or not.
"
Where do I find a local professional knitter? How do I find a place that could knit hats for me?,"I would start with your local public library. Odds are really good that they host some sort of knitting/crochet group and can direct you accordingly. If they don’t have a group, they’re trained to find information like this.
"
Which is a better band: Iron Maiden or Judas Priest?,"For me, I'll take Priest. So many badass guitar riffs.
"
"How far can a Modern Greek speaker go before Ancient Greek becomes unintelligible? I.e., if you were to take a Modern Greek speaker and give them a series of ancient Greek texts, each older than the last, at what point will they stop understanding?","No different to any language. Anyway what's your point?
"
"I was speeding when a police car going the other way flashed his light bar at me. I slowed, but he just drove away. What just happened?","You just got a warning without the associated paperwork.
 once I was on my highway bike heading home from work, frustrated and kinda pushing it through the traffic, but not cutting and weaving like a madman. Cops just turned on their speakers and told me to back off. I did, that was it.
"
Why did Bill Gates say “If you think you’re a really good programmer… read Art of Computer Programming… You should definitely send me a résumé if you can read the whole thing”?,"It’s a multi-volume set, right out of the ‘60s. Gates was willing to reward you for your resolution if you could read it all.
"
"Sometimes when I'm on a WhatsApp call, the app suddenly says call on hold. Do you know why?","It’s because you or person at other end gets cellular call and system gives priority to cellular call.
"
How can I lose 10 pounds in 3 weeks without exercising?,"[LINKED_TEXT: ""How To Lose Weight Fast""In our fast-paced world, many individuals desire to shed excess weight quickly. While it's natural to want rapid results, it's crucial to ap...https://weightloss-journey1.blogspot.com/2023/08/how-to-lose-weight-fast.html] [URL: https://weightloss-journey1.blogspot.com/2023/08/how-to-lose-weight-fast.html]"
"Who would win in a matchup, 1988 Mike Tyson or 2020 Tyson Fury?","About 11 seconds, or however long it takes Fury to sprint the 100 metres back to his dressing room when he sees Mike Tyson entering the ring.
 so Fury wins the 100 metres. You’ll never see him move so fast.
"
Do all UK people say they speak “English” and not “British English”?,"English language means originally the language spoken by people in England, thats because it is called English. So just English is enough.
 In US they speak a variation of English language evolved in diffent way with the time.
"
Do vocal exercises really help your singing become better?,"Click here to know some basic singing tips
 [LINKED_TEXT: FREE SINGING TIPS] [URL: https://kashyapseema.blogspot.com/2018/12/free-singing-tips.html]
"
"If you could design your own house, what would it be like?","I'm going to steal from the great lady herself Amy Schumer.
 House name- majora
 Lord/lady-labia
 Location- the riverlands
 Sigil- pussycat
 House words - rise to the occasion.
 This would be a house that many others court aggressively but do not just marry off to anyone. This is a powerful house on the banks of the red fork and is at its strongest when the river is running and providing silt and nutrients to her fertile lands.
"
How does one get officially married if they don’t believe in God? Would you still have to have a priest?,"A religious marriage alone is not an official marriage.
 You need a document from a government to show that you are officially married.
 Your religion, or lack of religion, is of no bearing in an official marriage.
"
"Before legalization, what did people think zig zags were used for?","Some people may have thought cheap tobacco and sometimes it was, zigzags gained popularity when I was in high school, 1974.
"
"Can you defend the line ""I don't like sand""?","Yes
 The purpose of quotes in movies are to be memorable. Did it work?
 20 years after the movie came out, you know the exact words of the quote. I’d say it did.
"
What was basketball like before the three-point shot?,"Not as competitive, we normally didn’t see a shot further than 15 Feet. Even when we did added a 3-Point line it wasn’t really used it was just there until 2007–09 We saw more and more players shooting there thus came the popularity of the 3- Point Line.
"
What is chutiya in Hindi?,"It’s an abusive word “asshole”
"
How does one get officially married if they don’t believe in God? Would you still have to have a priest?,"A simple two-step process.
Find a venue, fix a date and contact a celebrant such as @[LINKED_TEXT: TheFlyingHuman] [URL: https://www.quora.com/profile/TheFlyingHumanoid]ist. Caterers, photographers, florists, musicians will also need to be sorted out but the venue can usually help with that.Arrange an appointment with your local register office to sign a document in front of two witnesses.
"
What is ताजमहल किस नदी के किनारे स्थित हैं?,"यमुना नदी के दक्षिण तट पर
"
[math] 1+2+3+...+n=\binom{n+1}{2} [/math],"This is one of my all-time favorite proofs without words.
I recommend thinking for a bit about why this is a proof of the statement, but for anyone who is still feeling stuck, I will give the answer in the comments.
"
Why do we need a MAC address when we have a private IP address for each device? Can someone explain it in simple words?,"You need to communicate with parts of the network before you have the IP address, and you need a device identifier to do that with.
 You also need to be able to communicate with protocols that aren’t IP sometimes. Bluetooth does this a lot, WiFi a little bit, Ethernet quite a bit when you have more than one switch. MAC addresses come in handy for that too.
"
What are some of the best blogging tools?,"I have use multiple tools and experienced in SEO since 2009 check my website for tools info
 [LINKED_TEXT: addedasset.com] [URL: http://addedasset.com/]
"
Do US soldiers keep their guns?,"If you mean “do US soldiers steal their guns, which are government property when they leave the service?” the answer is generally not just “no” but “hell, no”.
 Very few soldiers are that dishonest.
"
Who is the best email campaign management vendor out there?,"This is crucial for an effective email marketing strategy and thallu. com offers a lot more in this regard than many of its more expensive alternatives. Combined with its automation features, which are also available to all users (although limited to a certain number of contacts on some packages), thallu. com contact management means you can target people on your email lists with personalised messages as their consumer needs change.
"
Who represents the GOP in 2021?,"djt
"
How much is a 1797-1801 John Adams one dollar coin not in mint condition worth?,"How much is john adams one dollar coin circulated
"
Do judges typically know who the dishonest or bad attorneys are?,"Do judges typically know who the dishonest or bad attorneys are?
 If they don’t know it going in, they figure it out pretty quickly.
"
How many times can I refill a plastic bottle of water before it becomes unusable?,"The polyethylene and polypropylene used to make water bottles are quite stable for a very long period of time. Feel free to reuse as much as you like washing it out periodically. As long as you don’t physically damage the bottle (poke a hole in it, etc.) it should be fine.
"
Why do cats abandon their owners?,"I don’t know what prompted this question because it’s usually if not always the other way around.
"
What is issuing authority in a passport? What should I write in it?,"I live in Dubai and local consulate issue my PP, so I write consulate general of India in Dubai
 If issued by PP office Mumbai, I will write PP office Mumbai.
 If you are UK citizen, mention where did you collect your passport from, direct from Home office or from any embassy or consulate issuing your PP.
"
What is the slickest way a person has gotten out of a traffic ticket?,"By dropping dead at the scene of the stop!
"
What are some examples of arguments against the existence of an afterlife?,"the afterlife isn’t possible, after your brain stops working you soul does too, just my argument
"
How do I make group calls in WhatsApp?,"I want to answer group call
"
What is the most dangerous place on Earth?,"This is a subjective question and different people may have different opinions on what is the most dangerous thing on Earth.
However, some common examples that are often considered dangerous include: nuclear weapons, climate change, pandemics, and certain natural disasters such as hurricanes or earthquakes.
 In my opinion, I consider human actions such as war, terrorism, and pollution to be among the most dangerous things on Earth.
"
"Can we consider the following physics questions of the NEET 2021 having answer 5A and 5√2 A, virtual and real and 15 and 25 (lens) as controversial?","All are clear and tricky que….1st will be 5
 The 2nd one will be 15 .. i cant explain here…but u can find the solution in utube
 The 3rd one also real…image…
 All are tricky…dont make it controversial….may be the 1st one called controversial..but the last 2 are clear and tricky…..
 Wait for the answer key from nta..
 Plz upvote if u 😌 satisfied…
"
What is the future tense of teach?,"Teach is not a tense it is a verb in future we use it as
 Will/shall teach
"
What was the strangest fast food order you've seen?,"The weirdest order I’ve ever heard at a fast food restaurant was a request for a “double cheeseburger with extra pickles and a side of coleslaw.”
"
Who are some of the greatest geniuses in physics from MIT?,"“Physics Girl"", who went to MIT, has made a splash in the media for building her own planes and teaching physics / mathematics. She is a youtube celebrity with 2.49 million followers. She may also be the person who originated certain educational songs.
—[LINKED_TEXT: Physics Girl] [URL: https://exoticphysics.quora.com/Physics-Girl-Major-Ideas-2022-09-12] (…)
"
Where is the best place to get help with credit card debt?,"Use your own income.
"
Prince Harry says he and Meghan won't return to the UK. Why don't the UK people be less racist and welcome Meghan Markle?,"I really don’t think the problem is racism I think it’s just Meghan she thought she was the second coming for the RF. Guess what she was wrong.
"
"Can a digital book be bought and shared with the family via a Kindle, or would you have to buy a copy of the digital book for each family member?","Kindle allows books to be shared by linking two or more e-readers.
 My daughter, her husband and I share books back and forth. One of us will buy it and it will show up on another person’s Kindle.
 She set it up, so I’m not sure how to do it, but it’s absolutely possible.
"
How fast could the US Air Force SR-71 Blackbird fly if it pushed its engines to the point of destruction as some MiG-25 Foxbats did chasing the Blackbird?,"Published history says various things, Mach 3 something is the common denominator. Some say Mach 3.4 some 3.6 and one or two say Mach 3.8+. Running the engines to destruction would have been a real waste as there were very few of them and after the production run was finished, the tooling was destroyed.
"
Do all UK people say they speak “English” and not “British English”?,"If you’d like to learn more funny facts about the English language, check out this video
"
What is the best Bollywood song for caller tune?,"If you want to set a called tune for your calls then you should definitely go with [LINKED_TEXT: Aaj Jaane ki Zid Na Karo (reprise) by Shaurya Mehta] [URL: https://www.youtube.com/watch?v=iKsh8dWIEE4]. It’s soothing and a relaxing song sung by him, who has a very melodious voice. He is very talented and sings with passion and has a really good voice and he has got rhythm.
"
What do I need to know about the University of Toronto?,"Get involved, prepare yourself for big city life, don’t get sticker shock from prices, ENJOY IT
"
How can I get a free Hotstar membership?,"Get hotstar premium and Vip accounts for free
 Just click this link - https://bit.ly/3ayWFRN
"
What are the best freelancing sites?,"Upwork: Upwork is one of the largest and most well-known freelancing platforms. It offers a wide range of job categories and allows freelancers to create profiles, bid on projects, and collaborate with clients. [LINKED_TEXT: Read more] [URL: https://www.updatenewsbuss.com/]
"
Are diapers out of style in 2022?,"Diapers don’t have anything to do with style, but with function. People who need to wear them, or even just want to wear them, will do so. People who don’t have a need for them don’t interact with them at all.
"
What is the future tense of teach?,"There is no future tense of teach.
 Conjugation of 'Teach'
 Base Form (Infinitive):
 Teach
 Past Simple:
 Taught
 Past Participle:
 Taught
 3rd Person Singular:
 Teaches
 Present Participle/Gerund:
 Teaching
"
How do I track the courier with a consignment number in DTDC?,"Click on [LINKED_TEXT: Most Preferred Courier Company in India] [URL: http://www.dtdc.in/] Any track
"
Why does the UK want the Scilly Islands? So remote off the coast of Britain.,"I believe they are only 30 miles from Cornwall.
"
How do you imagine life in 100 years?,"Because of the advancement in medicine, I expect the average life span for everyone to be 100 plus years of age.
"
"Why is there so little trash on the streets of Vancouver, British Columbia, relative to any other city, such as San Francisco?","Maybe that's cause the city of Vancouver's trash collecting dept works 24/7.
"
What's the best thing I can do as a 15 year old?,"Work hard at school
"
Can I use a dimmer with my LED?,"As I'm an electrical contractor having gone through several models of dimmers the answer isYES. The problem is not really the dimmers fault it's the diferant standards of the LED makers electronics. However just this week l used the latest model of a Litron dimmer rated 600watts and it worked no problem. Dimmers no longer have to be rated at 1500watts since Leds are approx a 5–1 ratio of power to Incandescents
 Eagle Electrical Services
"
By what right did Sweden enter NATO without Russia's consent?,"Finland and Sweden do not need Russia's consent and never did.
"
What are your silly little parenting tricks that you're so glad you discovered?,"The only trick I learned that has been profound is that no matter how much I planned or prepared, the simple act of being present and engaging my kids on their terms has been mind bending and taught me more about life, the human condition and people in general.
 Personalities are present at birth, we can fight and try to change children or love them for who they are.
"
Should I repair my own rental properties or hire a contractor?,"Depends on the repairs and your experience.
"
Do you think Mark Cuban would make a good POTUS?,"No. I find it hard to believe that he understands exactly what the average working American goes through everyday. And without that understanding, there's no common frame of reference for him to discern what is important to average Americans.
 And as a CEO he is probably used to people serving him all the time, instead of being in service to others.
"
What are the characteristics of a genuine person?,"Their responses will not involve saying things you want to hear. Integrity
"
Are Hong Kong activists still protesting in 2021?,"There has been no reported news of any demonstration in HongKong during the pre Christmas period.
 The activists have either lie low or have moved on to UK to live in the land of their former colonial master.
 I wish them luck and good fortune.
"
https://www.quora.com/profile/Me...,"No. But then I haven’t been able to access mine, either. The behavior of the browser is identical in both cases. Chrome on both desktop and mobile.
"
What are useful free and open-source tools for devops and sysadmin folks?,"Ansible is super easy and a great devops companion. Here is an overview:[LINKED_TEXT: Ansible is Awesome] [URL: http://rohit.io/ansible-is-awesome.html][LINKED_TEXT: Contributing to Ansible is Super Easy] [URL: http://rohit.io/contributing-to-ansible-is-super-easy.html]
"
Was there any specific reason why all of the Mars rovers use wheels rather than tank tracks? It would seem like tank tracks should be good options for Mars.,"Tank tracks have many moving parts. More parts to break down.
 Wheels are simpler.
"
How do you wake yourself up in the morning?,"My willingness to complete my law degree and make my parents proud is what motivates me to wake up every day. As a third-year student, I have a lot of revision to do. So, I wake up very early daily to catch up with my homework. My advice to you all is to set your goals and work hard to achieve them.
"
Is there anything about the Kobe Bryant helicopter crash that just doesn’t add up?,"No. It adds up. The pilot was flying in bad weather when he should’ve stayed on the ground . He was confused about his position. He was going so fast that if anything appeared out of the fog he had no time to avoid it.
"
Do your cats ‘help’ you with household chores?,"My present old man cat just lies in his bed and watches. If it’s the vacuum, he avoids it.
 I have had cats who wanted to help, though…by chasing the broom or playing in the piles of dirt I’ve swept up. They have also helped make the bed, by obstructing progress, mostly. I’m kind of glad I have an old man cat now.
"
What is the best LMS for online learning?,"As per my knowledge,the following are the best LMS for [LINKED_TEXT: online learning] [URL: https://www.narmadatech.com/education-and-elearning]:
 1)[LINKED_TEXT: Tutors24by7] [URL: https://tutors24by7.com/]
 2)[LINKED_TEXT: Professional24 by7] [URL: https://professionals24by7.com/]
"
https://www.quora.com/profile/Me...,"Weird, I couldn’t. I use Safari.
"
Is Unlockmaker (the free online unlocker app) a scam?,"please, don’t talk about about UnlockMaster is Scam, the answer is No, because I tried it for marny times me and my friend and the work is great and forever thank you UnlockMaster
"
Why is Magneto not strictly a villain?,"Magneto is not a nice guy. But society made him that way. Humans have been hunting and killing mutants for years and he is just tired of it. He wants justice for his people.
"
How do I translate Hindi sentences in Sanskrit?,"Use Google Translator
"
How do you wake yourself up in the morning?,"Whenever you wake up in the morning, you have got two options- either get back to sleep and continue your dream or wake up and make it happen .
"
"For pro-choice folks: If a man's wife or partner learns that she is pregnant and wants an abortion, should the father get a say in the decision if he wants to support and be there for the child?","No.
 She is the one whose life is at risk. She is the one whose body is undergoing all those changes. She is the one who will have to live with the consequences if the father backs out after the child is born.
 She is the only one who has the final say in the decision.
"
How long does it take to verify a Payoneer account?,"Usually 72 hours to a week.
"
"If buying a new, high end road bike and you can only choose one, do you go with electronic shifting or disc brakes?","Well my own high end road bike, has electric shifting (SRAM eTap) and rim brakes, if i was to do it all again I'd go with discs, but i really do like eTap though not a necessity
"
Does India have the weapon systems to do what the USA did with Osama with the JeM chief?,"I will wrap my answer in 2–3 lines max
 India has the required technology to do the same.
 India can plan the same.
 Indians have the most courage in the world.
 Only one thing is not there qualities of a natural leader and decision making.
 Indians are very good followers only .
 They can just obey orders.
"
"If you were handed an envelope with the time and date of your death, would you open it?","I’d check the return address first…
"
What is the most misunderstood picture that has become famous (or infamous)?,"The Mirror.
"
What would you do if one of your bridesmaids didn't like the dress you have chosen for her?,"I think that you should gently remind her that it is your wedding, but try to give her another option. It is your wedding, so it’s your choice what your bridesmaids wear.
"
Are there any 9mm revolvers that have a capacity of 10 or more rounds?,"If you wanted it to end up beginning to look something like this antique, sure.
But no one is going to want to carry something with a cylinder so fat as to hold that many rounds. You can get a .22 with, IIRC a 10-round cylinder. The largest I know of in 9mm (aka .38) is 7 rounds.
"
https://www.quora.com/profile/Me...,"Working fine for me both on my desktop and my phone. Using Firefox on my desktop and the regular Quora app on the phone. I am in Australia, if that makes a difference. Might be a regional issue for other people where it is not working. I’ve seen that happen quite often online.
"
Are Canadian people as polite as they used to be?,"It depends on where you go, where I'm from there a lot of places where people still to this day do not lock thier doors.
"
How do you naturally boost your immune system at home?,"Lemon water without added sugar and salt.
"
Why did the army get rid of digital camo?,"Because it does not blend in with trees and bushes as well as the traditional did and it was developed to confuse Ground System Radar, not the human eye.
"
Do you believe the claim that Gavin Menzies makes in his book “1421: The Year China Discovered America” that Admiral Zheng voyaged to the Americas before European explorers?,"its well established not just by Menzies.
"
"Esteemed House Oversight Committee Chairman Elijah Cummings said that the current White House security clearance scandal is ""a million times worse"" than the Hillary Clinton email scandal. What are your thoughts?","It’s reported by CNN reporters. Didn’t even it.
"
Who represents the GOP in 2021?,"No one, including the GOP itself represents the GOP. It’s a party without a platform. They only cater to wedge issues that energizes their base.
 Think about it… what was Trump’s platform for 2020? “More Of The Same”… MAGAgain
"
What is your worst cinema experience?,"I was the only one in there.
"
How can I download magazines for free on the Internet?,"You can try google sites it is the best free website. [LINKED_TEXT: For more information about website click to see.] [URL: https://amzn.to/3QmvEsq]
"
Are LEDs and diodes interchangeable?,"Are LEDs and diodes interchangeable?
 Not in general, no.
 LEDs are pretty lousy diodes, with awkwardly high forward voltages, embarrassingly low reverse breakdown voltages, and severely limited current capabilities.
 They are diodes, but only just.
"
What are the Six Sigma methods used to measure processes?,"The six sigma methods to measure processes include measuring the outcome of the process and comparing how close it is to the expected target and how consistently the process can deliver to this expected target.
 The statistics used in such a measurement includes standard deviation and average which measures the consistence and the accuracy.
"
What’s the major differences between an ENTJ and an INTJ?,"You can try this website
 [LINKED_TEXT: Free personality test, type descriptions, relationship and career advice] [URL: http://www.16personalities.com/]
"
What is served as breakfast in your country?,"Full English, black pudding optional!
"
What is jazz?,"I cannot answer that question without a context. I wish I could and God knows how many times I have tried. The problem is with the term is. Substitute something for is and the question is easier
"
How many man out there enjoy getting a pedicure and having their toenails painted?,"I love having pedicures and having my toenails painted. I was nervous the first time but the nail tech helped put me at ease by explaining the whole progress. The first time I didn't have the toenails painted with a color polish, just a clear polish. But after the first pedicure, I have my toenails painted with a color polish. At each pedicure I have a different color applied to the nails.
"
How do I know if I don’t believe in God?,"If you believed, you'd know. If you didn't believe, you'd know too. If you’re unsure - waiver from day to day - be patient with yourself til you figure it out.
"
What is भारत में कितने मेट्रो शहर है?,"ऐसे 15 भारतीय शहर हैं जिनके पास एक सक्रिय मेट्रो रेल सेवा और एक परिचालन मेट्रो मानचित्र है। भारत के मेट्रो रूट मैप में शामिल शहर कोलकाता, दिल्ली, चेन्नई, बेंगलुरु, हैदराबाद, अहमदाबाद, जयपुर, गुरुग्राम, मुंबई, नोएडा, कोच्चि, लखनऊ, नागपुर, कानपुर और पुणे हैं। [LINKED_TEXT: अधिक पढ़ें] [URL: https://www.kosaremaharaj.com/2023/01/online-education-and-digital-education.html]
"
"If you quit Quora, do you think anyone would miss you?","If you do have a following I am sure you will be missed especially if you are giving value.
 People appreciate value so personally they do not know you but they know the value of your post.
 So if you are posting continue giving value. This can take much time but it is something good you are doing.
"
By what right did Sweden enter NATO without Russia's consent?,"Don’t be silly
"
Can you write something that will make me feel the true size of infinity?,"There are more galaxies in the universe then there are grains of sand on the planet Earth, and each of those galaxies has upwards of hundreds of millions, and some with even billions of stars in each of them.
"
How many cubic feet are in a dump truck?,"Belaz 75710, with a payload capacity of 496t, is the world's biggest dump truck.Caterpillar 797F, the latest model of 797 class dump trucks, has a payload capacity of 400t.
"
Who is the most vile and heartless villain in comics?,"Nemesis
"
Did you ever think that if you could convince 1 million people to give you only 1 miserable dollar you would become a millionaire?,"I did.
 But I grew out of it.
"
What is the future tense of teach?,"Will teach or shall teach.
 Happy learning!
"
What is the best way to get discounts on hotel rooms?,"You can visit the website of the Hotel and take their main office contact and call them to Negotiate with them.
"
Can you do a singing reveal?,"Yes, I can…
"
What music making software can I download free?,"Look for free DAWs in the list:
 [LINKED_TEXT: What is the Best DAW? Mac, Windows, Linux >] [URL: https://samplerateconverter.com/educational/what-best-daw]
"
How do snow plows know where the edge of the road is and not run off?,"Good plow jockeys familiarize themselves with their roads and lots before snow falls and commit that to memory. Much of the winter existing windrows and berms keep you straight.
"
"Why don’t online dating sites require a government photo ID upon registration for identity verification? If they did it, there would not be fake profiles.","True, but that would also really annoying anyone that wants to use the app.
"
"I was speeding when a police car going the other way flashed his light bar at me. I slowed, but he just drove away. What just happened?","He wanted you to know he saw and caught you, but wanted to give you a break.
"
How is the earth falling apart where you live?,"It isn’t. It is a college town with its fair share of screwballs, jackasses and idiots, but most of the folks here are thriving, get along well and manage to thrive while still finding time and energy to help others.
"
